"Search query: ( ((""Artificial Intelligence""[Mesh]) OR (""Machine Learning""[Mesh]) OR (""Deep Learning""[Mesh])) AND ((""X-Rays""[Mesh]) OR (""Tomography, X-Ray Computed""[Mesh]) OR (""Magnetic Resonance Imaging""[Mesh])) AND (""Brain""[Mesh]) )"
Year,Count
2024,789
2023,418
2022,504
2021,618
2020,543
2019,492
2018,360
2017,259
2016,200
2015,186
2014,193
2013,174
2012,110
2011,118
2010,107
2009,181
2008,182
2007,193
2006,119
2005,122
2004,47
2003,27
2002,16
2001,13
2000,12
1999,14
1998,7
1997,15
1996,7
1995,6
1994,4
1993,5
1992,1
1991,3
1990,3
1989,2
1988,1
1987,2
