"Search query: ( ((""Artificial Intelligence""[Mesh]) OR (""Machine Learning""[Mesh]) OR (""Deep Learning""[Mesh])) AND (""Magnetic Resonance Imaging""[Mesh]) AND (""Brain""[Mesh]) )"
Year,Count
2024,762
2023,404
2022,489
2021,591
2020,522
2019,479
2018,351
2017,254
2016,199
2015,184
2014,189
2013,171
2012,108
2011,117
2010,104
2009,180
2008,180
2007,191
2006,117
2005,117
2004,45
2003,26
2002,16
2001,13
2000,10
1999,14
1998,6
1997,15
1996,7
1995,3
1994,4
1993,4
1992,1
1991,1
1990,2
