"Search query: ( ((""Artificial Intelligence""[Mesh]) OR (""Machine Learning""[Mesh]) OR (""Deep Learning""[Mesh])) AND ((""X-Rays""[Mesh]) OR (""Mammography""[Mesh]) OR (""Tomography, X-Ray Computed""[Mesh]) OR (""Magnetic Resonance Imaging""[Mesh])) AND (""Breast""[Mesh]) )"
Year,Count
2024,86
2023,101
2022,72
2021,91
2020,65
2019,69
2018,27
2017,14
2016,10
2015,7
2014,10
2013,11
2012,9
2011,4
2010,5
2009,5
2008,9
2007,7
2006,5
2005,3
2004,3
2003,1
2002,4
2001,2
2000,1
1999,2
1996,1
1995,1
