"Search query: ( ((""Artificial Intelligence""[Mesh]) OR (""Machine Learning""[Mesh]) OR (""Deep Learning""[Mesh])) AND ((""X-Rays""[Mesh]) OR (""Tomography, X-Ray Computed""[Mesh]) OR (""Magnetic Resonance Imaging""[Mesh])) AND ((""Head""[Mesh]) OR (""Neck""[Mesh])) )"
Year,Count
2024,43
2023,30
2022,25
2021,17
2020,21
2019,23
2018,11
2017,6
2016,6
2015,8
2014,2
2013,10
2012,4
2011,6
2010,4
2009,3
2008,3
2007,5
2006,3
2005,6
2004,3
2003,1
2002,1
2000,1
1998,1
1997,1
1992,1
1989,1
