"Search query: ( ((""Artificial Intelligence""[Mesh]) OR (""Machine Learning""[Mesh]) OR (""Deep Learning""[Mesh])) AND (""Magnetic Resonance Imaging""[Mesh]) )"
Year,Count
2024,2119
2023,1534
2022,1689
2021,1713
2020,1374
2019,1114
2018,677
2017,435
2016,331
2015,302
2014,326
2013,310
2012,219
2011,240
2010,206
2009,279
2008,299
2007,311
2006,234
2005,210
2004,75
2003,54
2002,36
2001,26
2000,27
1999,29
1998,18
1997,31
1996,11
1995,15
1994,6
1993,10
1992,3
1991,3
1990,2
1989,2
1988,1
1987,1
